Exchange,Stock,Stock_Name,Sector,Market_Cap,Weight_per
AX,APE,A.P. Eagers Limited,Consumer Discretionary,1511340000,0.071
AX,APG,Austpac Resources NL,Materials,1912370,0
AX,API,Australian Pharm,Health Care,849439000,0.04
AX,APL,Antipodes Global INV,,475926000,0.022
AX,APO,Apn Outdoor Group,Consumer Discretionary,1112260000,0.052
AX,APT,Afterpay Touch,Information Technology,4127980000,0.193
AX,APW,Aims Pror Sec Fund Ordinary Units FP,Real Estate,78055400,0.004
AX,APX,Appen Limited,Information Technology,1487100000,0.07
AX,APZ,Aspen Group Ordinary/Units FP Stapled Securities,Real Estate,95161600,0.004
AX,AQC,Auspaccoal Limited,Materials,36679600,0.002
AX,AQD,Ausquest Limited,Materials,12637600,0.001
AX,AQG,Alacer Gold Corp Chess Depositary Interests 1:1,Materials,214204000,0.01
AX,AQI,Alicanto Min Limited,Materials,4050210,0
AX,AQJ,Aus Asia Min Limited,Energy,68839,0
AX,AQS,AQUIS Ent Limited,Consumer Discretionary,714384,0
AX,AQX,Alice QUEEN Limited,Energy,7319670,0
AX,AQZ,Alliance Aviation,Industrials,307045000,0.014
AX,AR9,Archtis Limited,Information Technology,14687400,0.001
AX,ARA,Ariadne Australia,Industrials,133778000,0.006
AX,ARB,ARB Corporation,Consumer Discretionary,1520230000,0.071
AX,ARC,Aust Rural Cap Limited,Financials,8244780,0
AX,ARD,Argent Minerals,Materials,7423350,0
AX,ARE,Argonaut Resources,Materials,34196400,0.002
AX,ARF,Arena REIT Stapled Securities FP,Real Estate,639028000,0.03
AX,ARG,Argo Investments,,5652910000,0.265
AX,ARH,Australasian Resour,Materials,2445750,0
AX,ARI,Acn 004410833 Limited,Materials,64620500,0.003
AX,ARL,Ardea Resources Limited,Materials,61962700,0.003
AX,ARM,Aurora Minerals Limited,Materials,3037020,0
AX,ARN,Aldoro Resources,Materials,5295000,0
AX,ARO,Astro Resources NL,Materials,2657030,0
AX,ARQ,ARQ Group Limited,Information Technology,279657000,0.013
AX,ARS,Alt Resources Limited,Materials,6671490,0
AX,ARU,Arafura Resource Limited,Materials,45330900,0.002
AX,ARV,Artemis Resources,Materials,123765000,0.006
AX,ARX,Arc Exploration Limited,Materials,4292620,0
AX,AS1,Angel Seafood,Consumer Staples,13182200,0.001
AX,ASB,Austal Limited,Industrials,692750000,0.032
AX,ASG,Autosports Group Limited,Consumer Discretionary,281400000,0.013
AX,ASH,Ashley Services Group,Industrials,43192800,0.002
AX,ASIA,Beta Asiatech Tigers ETF Units FP,,1224000,0
AX,ASL,Ausdrill Limited,Materials,942076000,0.044
AX,ASN,Anson Resources Limited,Materials,39054600,0.002
AX,ASP,Aspermont Limited,Consumer Discretionary,20832900,0.001
AX,AST,Ausnet Services Limited,Utilities,5873310000,0.275
AX,ASW,Advanced Share Limited,Financials,29495100,0.001
AX,ASX,ASX Limited,Financials,12324300000,0.577
AX,ASY,Assemblebay Limited,,3391240,0
AX,ATA,Atc Alloys Limited,Materials,3522290,0
AX,ATC,Altech Chem Limited,Materials,83021200,0.004
AX,ATL,Apollo Tourism,Consumer Discretionary,258884000,0.012
AX,ATM,Aneka Tambang Chess Depositary Interests 1:5,Materials,1106120,0
AX,ATP,Atlas Pearls Limited,Consumer Discretionary,8557440,0
AX,ATR,Astron Corp Limited Chess Depositary Interests 1:1,Materials,24495400,0.001
AX,ATS,Australis Oil & Gas,Energy,420556000,0.02
AX,ATT,Ante Real Estate TST Units FP,Real Estate,2105740,0
AX,ATU,Atrum Coal Limited,Materials,32345200,0.002
AX,ATX,Amplia Therapeutics,Health Care,12307000,0.001
AX,AU1,The Agency Group Aus,Real Estate,7674100,0
AX,AU8,Aumake Int Limited,Consumer Discretionary,59697000,0.003
AX,AUB,AUB Group Limited,Financials,850435000,0.04
AX,AUC,Ausgold Limited,Materials,15114400,0.001
AX,AUDS,Beta Strong AUD Trading Managed Units FP,,2624000,0
AX,AUH,Austchina Holdings,Energy,7807700,0
AX,AUI,Australian United in,Financials,1055450000,0.049
AX,AUL,Austar Gold Limited,Materials,8500550,0
AX,AUMF,Ishares Edge Au MF ETF Units FP,,11564100,0.001
AX,AUP,Aurora Property Ordinary Units FP,,5140790,0
AX,AUQ,Alara Resources Limited,Materials,16354500,0.001
AX,AUR,Auris Minerals Limited,Materials,20025400,0.001
AX,AUST,Beta Managed Risk Au Trading Managed Fund Units FP,,21587300,0.001
AX,AUZ,Australian Mines Limited,Materials,114052000,0.005
AX,AVA,AVA Risk Group Limited,Information Technology,46440800,0.002
AX,AVC,Auctus Alt INV Limited,Financials,8723220,0
AX,AVD,Antilles Oil and Gas,Energy,3914980,0
AX,AVG,Aust Vintage Limited,Consumer Staples,168092000,0.008
AX,AVH,Avita Medical Limited,Health Care,140582000,0.007
AX,AVJ,Avjennings Limited,Real Estate,260652000,0.012
AX,AVL,Aust Vanadium Limited,Materials,84532500,0.004
AX,AVNDA,Aventus Group Stapled Securities Deferred Settlement,,1058170000,0.05
AX,AVQ,Axiom Mining Limited Chess Depositary Interests 1:1,Materials,48224300,0.002
AX,AVW,Avira Resources Limited,Materials,3000000,0
AX,AVZ,AVZ Minerals Limited,Materials,179404000,0.008
AX,AWC,Alumina Limited,Materials,7977170000,0.374
AX,AWN,Arowana Internat Limited,Industrials,37961000,0.002
AX,AWV,Anova Metals Limited,Materials,10695200,0.001
AX,AWY,Aust Whisky Holdings,Consumer Staples,57586100,0.003
AX,AX1,Accent Group Limited,Consumer Discretionary,882223000,0.041
AX,AX8,Accelerate Resources,,3251050,0
AX,AXE,Archer Exploration,Materials,20713200,0.001
AX,AXI,Axiom Properties,Real Estate,19522500,0.001
AX,AXL,Axsesstoday Limited,Financials,105949000,0.005
AX,AXP,Airxpanders Inc Cdi Forus,Health Care,197078000,0.009
AX,AXT,Argo Exploration,Materials,3476430,0
AX,AYF,Australian Enhanced Units FP,,19509200,0.001
AX,AYG,Axxis Technology Group,Information Technology,38938,0
AX,AYI,A1 Invest & Res Limited,Financials,10807300,0.001
AX,AYK,Amyf Four Limited,,19917900,0.001
AX,AYM,Australia United Min,Materials,5078130,0
AX,AYR,Alloy Resources,Materials,5805340,0
AX,AYS,Amaysim Aus Limited,Telecommunication Services,215009000,0.01
AX,AYZ,Amyf Five Limited,,54596200,0.003
AX,AZI,Alta ZINC Limited,Materials,8213790,0
AX,AZJ,Aurizon Holdings Limited,Industrials,8179430000,0.383
AX,AZM,Azumah Resources,Materials,16425200,0.001
AX,AZS,AZURE Minerals,Materials,22200000,0.001
AX,AZV,AZURE Healthcare Limited,Health Care,20944200,0.001
AX,AZY,Antipa Minerals Limited,Materials,28888100,0.001
AX,B2Y,Bounty Mining,Materials,68578300,0.003
AX,BAF,Blue Sky Alt Access,,185742000,0.009
AX,BAH,Bojun Agriculture,Consumer Staples,35238500,0.002
AX,BAL,Bellamy's Australia,Consumer Staples,1159760000,0.054
AX,BAP,Bapcor Limited,Consumer Discretionary,2146670000,0.101
AX,BAR,Barra Resources,Materials,21235600,0.001
AX,BAS,Bass Oil Limited,Energy,10424700,0
AX,BAT,Battery Minerals Limited,Materials,32296500,0.002
AX,BAU,Bauxite Resource Limited,Materials,12007700,0.001
AX,BBL,Brisbane Broncos,Consumer Discretionary,48039900,0.002
AX,BBN,Baby Bunting Group Limited,Consumer Discretionary,293535000,0.014
AX,BBOZ,Beta Aust STR Bear Trading Managed Fund Units FP,,94611000,0.004
AX,BBR,Bora Bora Resources,Materials,2418490,0
AX,BBUS,Beta US Strong Bear Trading Managed Fund Units FP,,63900000,0.003
AX,BBX,BBX Minerals Limited,Materials,63458800,0.003
AX,BC8,Black Cat Syndicate,Materials,6317900,0
AX,BCB,Bowen Coal Limited,Materials,5243960,0
AX,BCI,BCI Minerals Limited,Materials,51689200,0.002
AX,BCK,Brockman Mining Limited,Materials,293183000,0.014
AX,BCL,Bunji Corp Limited,Energy,1356180,0
AX,BCN,Beacon Minerals,Materials,39384500,0.002
AX,BCT,Bluechiip Limited,Information Technology,31375000,0.001
AX,BD1,BARD1 Life Sciences,,9115290,0
AX,BDA,Bod Australia,Consumer Discretionary,27429000,0.001
AX,BDG,Black Dragon Gold Chess Depositary Interests 1:1,Materials,4420080,0
AX,BDI,Blina Minerals NL,Materials,4313880,0
AX,BDR,Beadell Resource Limited,Materials,98741500,0.005
AX,BEAR,Betashares Aust BEAR ETF Units FP,,49329600,0.002
AX,BEE,Broo Limited,Consumer Staples,19979700,0.001
AX,BEL,Bentley Capital Limited,Financials,7612790,0
AX,BEM,Blackearth Minerals,Materials,4600190,0
AX,BEN,Bendigo and Adelaide,Financials,5211550000,0.244
AX,BFC,Beston Global Limited,Consumer Staples,76912600,0.004
AX,BFG,Bell Financial Group,Financials,335177000,0.016
AX,BGA,Bega Cheese Limited,Consumer Staples,1449260000,0.068
AX,BGH,Bligh Resources Limited,Materials,12008300,0.001
AX,BGL,Bellevue Gold Limited,Materials,92402600,0.004
AX,BGP,Briscoe Group Foreign Exempt NZX,,705355000,0.033
AX,BGR,Bronson Group Limited,Financials,259888,0
AX,BGS,Birimian Limited,Materials,66564800,0.003
AX,BGT,Bio-Gene Technology,Materials,14620800,0.001
AX,BHD,Benjamin Horngld Limited,,17150200,0.001
AX,BHL,Boyuan Holdings,Real Estate,102939000,0.005
AX,BHP,BHP Billiton Limited,Materials,111221000000,5.21
AX,BID,Bidenergy Limited,Information Technology,99991400,0.005
AX,BILL,Ishares Core Cash ETF Units FP,,248249000,0.012
AX,BIN,Bingo Industries Limited,Industrials,1828040000,0.086
AX,BIQ,Buildingiq Inc Cdi 1:1,Information Technology,4321230,0
AX,BIR,BIR Financial Limited,Financials,12842200,0.001
AX,BIS,Bisalloy Steel,Materials,42167900,0.002
AX,BIT,Biotron Limited,Health Care,20599300,0.001
AX,BKI,BKI Investment Limited,Financials,1113120000,0.052
AX,BKL,Blackmores Limited,Consumer Staples,2283410000,0.107
AX,BKM,BKM Management Limited,Industrials,3644070,0
AX,BKP,Baraka Energy Res,Energy,16170900,0.001
AX,BKT,Black Rock Mining,Materials,17743200,0.001
AX,BKW,Brickworks Limited,Materials,2617630000,0.123
AX,BKY,Berkeley Energia Limited,Energy,171846000,0.008
AX,BLA,Blue Sky Limited,Financials,122888000,0.006
AX,BLD,Boral Limited,Materials,8100810000,0.379
AX,BLG,Bluglass Limited,Information Technology,119218000,0.006
AX,BLK,Blackham Resources,Materials,53151800,0.002
AX,BLT,Benitec Biopharma,Health Care,46265300,0.002
AX,BLX,Beacon Lighting Group,Consumer Discretionary,330087000,0.015
AX,BLY,Boart Longyear,Industrials,157739000,0.007
AX,BLZ,BLAZE International,Energy,6425880,0
AX,BMG,BMG Resources Limited,Materials,3474330,0
AX,BMH,Baumart Holdings Limited,Industrials,34015000,0.002
AX,BMN,Bannerman Resources,Energy,57725100,0.003
AX,BMP,Buymyplace Limited,Real Estate,4725600,0
AX,BMT,Berkut Minerals Limited,Materials,3919070,0
AX,BNKS,Beta Global Banks ETF Units FP,,75340300,0.004
AX,BNL,Big Star Energy Limited,Energy,3641000,0
AX,BNO,Bionomics Limited,Health Care,241452000,0.011
AX,BNR,Bulletin Res Limited,Materials,8426770,0
AX,BOA,Boadicea Resources,Materials,5020290,0
AX,BOC,Bougainville Copper 1 Kina,Materials,62164700,0.003
AX,BOE,Boss Resources Limited,Materials,117246000,0.005
AX,BOL,Boom Logistics,Industrials,104471000,0.005
AX,BOND,SPDR Aust BOND ETF Units FP,,23523300,0.001
AX,BOQ,Bank of Queensland,Financials,4378380000,0.205
AX,BOT,Botanix Pharma Limited,Health Care,74227600,0.003
AX,BPG,Byte Power Group,Consumer Discretionary,27585600,0.001
AX,BPH,BPH Energy Limited,Health Care,966187,0
AX,BPL,Broken Hill Prospect,Materials,6950520,0
AX,BPP,Babylon Pump & Power,Industrials,7067420,0
AX,BPT,Beach Energy Limited,Energy,4872850000,0.228
AX,BRB,Breaker Res NL,Materials,46768500,0.002
AX,BRC,Brain Resource Limited,Health Care,22312900,0.001
AX,BRG,Breville Group Limited,Consumer Discretionary,1701650000,0.08
AX,BRI,Big RIV Indust Limited,Materials,103966000,0.005
AX,BRK,Brookside Energy Limited,Energy,16837200,0.001
AX,BRL,Bathurst Res Limited,Materials,175555000,0.008
AX,BRN,Brainchip Limited,Information Technology,147612000,0.007
AX,BRO,Broad Investments,Telecommunication Services,3957780,0
AX,BRU,Buru Energy,Energy,114500000,0.005
AX,BSA,BSA Limited,Industrials,118617000,0.006
AX,BSE,Base Res Limited,Materials,298807000,0.014
AX,BSL,Bluescope Steel Limited,Materials,9303600000,0.436
AX,BSM,Bass Metals Limited,Materials,61540000,0.003
AX,BSN,Bisan Limited,Financials,519422,0
AX,BSP,Black Star Petroleum,Energy,1295030,0
AX,BSR,Bassari Resources,Materials,44582400,0.002
AX,BST,Barrack ST Invest,,18867600,0.001
AX,BSX,Blackstone Limited,Materials,13482900,0.001
AX,BTC,BTC Health Limited,Financials,22801900,0.001
AX,BTH,Bigtincan Holdings Limited,Information Technology,58673400,0.003
AX,BTI,Bailador Tech INV,Financials,108223000,0.005
AX,BUB,Bubs Aust Limited,Consumer Staples,249902000,0.012
AX,BUD,Buddy Platform Limited,Information Technology,48795900,0.002
AX,BUG,Buderim Group Limited,Consumer Staples,28387200,0.001
AX,BUL,Blue Energy Limited,Energy,81131000,0.004
AX,BUX,Buxton Resources Limited,Materials,18290200,0.001
AX,BUY,Bounty Oil & Gas NL,Energy,4767000,0
AX,BVS,Bravura Solution Limited,Information Technology,944825000,0.044
AX,BWF,Blackwall Limited,Financials,63787300,0.003
AX,BWP,BWP Trust Ordinary Units FP,Real Estate,2145560000,0.101
AX,BWR,Blackwall Prop Trust Ordinary Units FP,Real Estate,96954500,0.005
AX,BWX,BWX Limited,Consumer Staples,446999000,0.021
AX,BXB,Brambles Limited,Industrials,17364800000,0.813
AX,BXN,Bioxyne Limited,Health Care,23685400,0.001
AX,BYE,Byron Energy Limited,Energy,229471000,0.011
AX,BYH,Bryah Resources Limited,Materials,4310260,0
AX,BYI,Beyond International,Consumer Discretionary,42322500,0.002
AX,C6C,Copper Mountain Chess Depositary Interests 1:1,Materials,38887200,0.002
AX,CA8,Coassets Limited,Financials,25023000,0.001
AX,CAA,Capral Limited,Materials,74444800,0.003
AX,CAB,Cabcharge Australia,Industrials,273378000,0.013
AX,CAD,Caeneus Minerals,Materials,14063100,0.001
AX,CAE,Cannindah Resources,Materials,4548730,0
AX,CAF,Centrepoint Alliance,Financials,23539900,0.001
AX,CAG,Caperangeltd,Information Technology,48638300,0.002
AX,CAI,Calidus Resources,Materials,22442600,0.001
AX,CAJ,Capitol Health,Health Care,233730000,0.011
AX,CAM,Clime Capital,,86777800,0.004
AX,CAN,Cann Group Limited,Health Care,291773000,0.014
AX,CAP,Carpentaria Resource,Materials,18175500,0.001
AX,CAQ,CAQ Holdings Limited,Real Estate,27275900,0.001
AX,CAR,Carsales.com Limited,Information Technology,3516790000,0.165
AX,CAS,Crusader Resources,Materials,10043000,0
AX,CAT,Catapult Group Int Limited,Information Technology,209985000,0.01
AX,CAV,Carnavale Resources,Materials,6580000,0
AX,CAY,Canyon Resources Limited,Materials,72221800,0.003
AX,CAZ,Cazaly Resources,Materials,6450260,0
AX,CBA,Commonwealth Bank,Financials,125670000000,5.887
AX,CBC,CBG Capital Limited,,25221400,0.001
AX,CBL,CBL Corporation Limited Foreign Exempt NZX,Financials,664894000,0.031
AX,CCA,Change Financial Limited,Information Technology,9848120,0
AX,CCE,Carnegie CLN Energy,Utilities,25933100,0.001
AX,CCG,Commschoice,Information Technology,13059900,0.001
AX,CCJ,County International,Energy,1506800,0
AX,CCL,Coca-Cola Amatil,Consumer Staples,7066240000,0.331
AX,CCP,Credit Corp Group,Financials,1062000000,0.05
AX,CCV,Cash Converters,Consumer Discretionary,197260000,0.009
AX,CCZ,Castillo Copper Limited,Materials,23203800,0.001
AX,CD1,Cordish Dixon Pef I Ordinary Units FP,,66323300,0.003
AX,CD2,Cordish Dixon Pef Ii Ordinary Units FP,,118659000,0.006
AX,CD3,Cordish Dixon Pefiii Ordinary Units FP,,110924000,0.005
AX,CDA,Codan Limited,Information Technology,576868000,0.027
AX,CDD,Cardno Limited,Industrials,537490000,0.025
AX,CDG,Cleveland Min Limited,Materials,27878500,0.001
AX,CDH,Chongherr Investment,Materials,1171870,0
AX,CDM,Cadence Capital,,385948000,0.018
AX,CDP,Carindale Property Units FP,Real Estate,566300000,0.027
AX,CDT,Castle Minerals,Materials,2461760,0
AX,CDU,Cudeco Limited,Materials,92655400,0.004
AX,CDV,Cardinal Reso Limited,Materials,172137000,0.008
AX,CDX,Cardiex Limited,Health Care,20779900,0.001
AX,CDY,Cellmid Limited,Health Care,30818800,0.001
AX,CE1,Calima Energy,Energy,65294600,0.003
AX,CEL,Challenger Energy,Energy,4673600,0
AX,CEN,Contact Energy Limited Foreign Exempt NZX,Utilities,983463000,0.046
AX,CETF,Vaneck China Ashare ETF Cdis 1:1,,14663000,0.001
AX,CFE,Cape Lambert Res Limited,Materials,22258200,0.001
AX,CFO,Cfoam Limited,Industrials,15940000,0.001
AX,CG1,Carbonxt Group,Materials,38412800,0.002
AX,CGA,Contango Asset,Financials,29199600,0.001
AX,CGC,Costa Group Holdings,Consumer Staples,2280670000,0.107
AX,CGF,Challenger Limited,Financials,6841580000,0.32
AX,CGL,The Citadel Group,Information Technology,397268000,0.019
AX,CGM,Cougar Metals NL,Materials,3731210,0
AX,CGN,Crater Gold Min Limited,Materials,5589300,0
AX,CGO,CPT Global Limited,Information Technology,5970960,0
AX,CGR,CML Group Limited,Industrials,109568000,0.005
AX,CGS,Cogstate Limited,Health Care,67867000,0.003
AX,CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,3334960000,0.156
AX,CHK,Cohiba Min Limited,Materials,3905630,0
AX,CHN,Chalice Gold Mines,Materials,37319500,0.002
AX,CHP,Chapmans Limited,Financials,2714060,0
AX,CHR,Chalmers Limited,Industrials,30456000,0.001
